run,steps,docked,aborted,final_pos_m,total_dv_mps,prop_kg
0,2389,1,0,0.009503,1.058227,0.245188
1,2390,1,0,0.009947,1.084479,0.251269
2,2373,1,0,0.008222,0.958773,0.222150
3,2374,1,0,0.009414,0.946792,0.219375
4,2398,1,0,0.009296,1.018322,0.235944
5,2416,1,0,0.009846,1.057110,0.244929
6,2348,1,0,0.011405,0.959723,0.222370
7,2409,1,0,0.010868,0.982194,0.227575
8,2429,1,0,0.010762,1.062291,0.246129
9,2401,1,0,0.009880,1.013461,0.234818
