run,steps,docked,aborted,final_pos_m,total_dv_mps,prop_kg
0,2402,1,0,0.011792,0.952572,0.220713
1,2337,1,0,0.009420,0.911704,0.211246
2,2331,1,0,0.010760,0.871568,0.201948
3,2385,1,0,0.009697,0.997156,0.231041
4,2367,1,0,0.010302,0.988494,0.229035
5,2348,1,0,0.010925,0.893669,0.207068
6,2352,1,0,0.012026,0.998208,0.231285
7,2417,1,0,0.008343,1.113837,0.258069
8,2393,1,0,0.009583,1.115357,0.258421
9,2378,1,0,0.010435,0.990877,0.229587
