run,steps,docked,aborted,final_pos_m,total_dv_mps,prop_kg
0,2371,1,0,0.008393,0.978390,0.226694
1,2400,1,0,0.011751,1.041157,0.241234
2,2426,1,0,0.011404,1.054035,0.244217
3,2405,1,0,0.012784,1.056421,0.244770
4,2432,1,0,0.010399,1.043212,0.241710
5,2393,1,0,0.009587,0.946285,0.219257
6,2346,1,0,0.012061,1.033983,0.239572
7,2387,1,0,0.013793,0.972377,0.225301
8,2431,1,0,0.011897,1.170502,0.271195
9,2364,1,0,0.011282,0.888441,0.205857
