run,steps,docked,aborted,final_pos_m,total_dv_mps,prop_kg
0,2551,1,0,0.010753,1.557708,0.360875
1,2560,1,0,0.010637,1.696460,0.393007
2,2545,1,0,0.009063,1.557007,0.360712
3,2557,1,0,0.011207,1.634864,0.378743
4,2548,1,0,0.009652,1.637024,0.379243
5,2563,1,0,0.010533,1.782286,0.412881
6,2558,1,0,0.011977,1.837812,0.425739
7,2572,1,0,0.009144,1.747810,0.404898
8,2549,1,0,0.010978,1.630517,0.377736
9,2552,1,0,0.012215,1.643201,0.380673
