step,time_s,true_x,true_y,true_z,true_vx,true_vy,true_vz,est_x,est_y,est_z,cmd_fx,cmd_fy,cmd_fz,range_m,dv_step,att_qw,att_qx,att_qy,att_qz,att_err_deg,att_aligned,mission_mode,fault_code,imu_ax,imu_ay,imu_az
23,24.000,-0.0013,199.7015,0.0000,-0.000664,-0.113167,0.000000,0.0537,199.7403,-0.0114,0.0000,-10.1800,0.0000,199.8045,0.020361,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.000415,-0.034961,0.014991
24,25.000,-0.0021,199.5787,0.0000,-0.000940,-0.132509,0.000000,0.0609,199.5807,-0.0126,0.0000,-9.6710,0.0000,199.7015,0.019343,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.013744,-0.026294,-0.010923
25,26.000,-0.0032,199.4370,0.0000,-0.001259,-0.150883,0.000000,-0.0022,199.3633,0.0142,0.0000,-9.1875,0.0000,199.5787,0.018376,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011675,-0.035571,0.010826
26,27.000,-0.0046,199.2774,0.0000,-0.001619,-0.168337,0.000000,-0.0096,199.1477,0.0203,0.0000,-8.7281,0.0000,199.4370,0.017457,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006697,-0.005774,-0.018856
27,28.000,-0.0064,199.1007,0.0000,-0.002017,-0.184918,0.000000,-0.0130,198.7928,0.0399,0.0000,-8.2917,0.0000,199.2774,0.016585,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003899,-0.008769,-0.017092
28,29.000,-0.0086,198.9080,0.0000,-0.002452,-0.200669,0.000000,0.0296,198.6137,0.0704,0.0000,-7.8772,0.0000,199.1007,0.015756,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.004596,-0.012272,-0.003437
29,30.000,-0.0113,198.6998,0.0000,-0.002922,-0.215632,0.000000,-0.0328,198.3524,0.0531,0.0000,-7.4834,0.0000,198.9080,0.014968,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002801,-0.023267,-0.000245
30,31.000,-0.0145,198.4771,0.0000,-0.003426,-0.229845,0.000000,-0.0758,198.0604,0.0221,0.0000,-7.1094,0.0000,198.6998,0.014220,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.014774,-0.026256,-0.011333
31,32.000,-0.0181,198.2405,0.0000,-0.003746,-0.243347,0.000000,-0.1144,197.8386,0.0003,0.1072,-6.7540,0.0000,198.4771,0.013511,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.010224,0.005679,0.016397
32,33.000,-0.0220,197.9907,0.0000,-0.004082,-0.256173,0.000000,-0.0965,197.6410,0.0069,0.1143,-6.4165,0.0000,198.2405,0.012836,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002808,-0.018852,-0.007105
33,34.000,-0.0262,197.7284,0.0000,-0.004427,-0.268357,0.000000,-0.0961,197.3334,0.0200,0.1240,-6.0958,0.0000,197.9907,0.012196,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.024864,0.002820,0.012571
34,35.000,-0.0308,197.4543,0.0000,-0.004786,-0.279931,0.000000,-0.0633,197.0682,-0.0111,0.1305,-5.7912,0.0000,197.7284,0.011587,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.017288,-0.022648,0.010654
35,36.000,-0.0358,197.1689,0.0000,-0.005146,-0.290925,0.000000,-0.0784,196.8057,-0.0055,0.1428,-5.5019,0.0000,197.4543,0.011009,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.010307,-0.005076,-0.019916
36,37.000,-0.0411,196.8727,0.0000,-0.005518,-0.301369,0.000000,-0.0402,196.5686,0.0235,0.1493,-5.2270,0.0000,197.1689,0.010460,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001964,-0.023020,0.006298
37,38.000,-0.0468,196.5664,0.0000,-0.005889,-0.311289,0.000000,-0.0485,196.3764,0.0676,0.1608,-4.9659,0.0000,196.8727,0.009938,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.010574,-0.014304,0.000945
38,39.000,-0.0529,196.2504,0.0000,-0.006275,-0.320713,0.000000,0.0173,196.0377,0.0892,0.1651,-4.7179,0.0000,196.5664,0.009443,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001799,0.004445,0.013413
39,40.000,-0.0594,195.9252,0.0000,-0.006651,-0.329665,0.000000,-0.0236,195.8089,0.0933,0.1801,-4.4823,0.0000,196.2504,0.008973,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006590,-0.001787,0.007511
40,41.000,-0.0662,195.5913,0.0000,-0.007019,-0.338168,0.000000,-0.0510,195.5127,0.0933,0.1938,-4.2585,0.0000,195.9252,0.008527,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003645,-0.011893,0.008450
41,42.000,-0.0734,195.2491,0.0000,-0.007388,-0.346245,0.000000,-0.0327,195.2281,0.0792,0.2028,-4.0459,0.0000,195.5913,0.008103,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.010332,-0.005501,-0.017223
42,43.000,-0.0810,194.8990,0.0000,-0.007750,-0.353917,0.000000,-0.0495,194.8352,0.0325,0.2154,-3.8440,0.0000,195.2491,0.007701,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.008999,0.005949,0.006936
43,44.000,-0.0889,194.5414,0.0000,-0.008099,-0.361205,0.000000,-0.0903,194.5435,0.0174,0.2303,-3.6522,0.0000,194.8990,0.007320,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003530,0.002813,-0.024441
44,45.000,-0.0972,194.1768,0.0000,-0.008436,-0.368128,0.000000,-0.1301,194.1911,0.0107,0.2444,-3.4700,0.0000,194.5415,0.006958,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.002875,-0.008318,-0.010203
45,46.000,-0.1058,193.8054,0.0000,-0.008760,-0.374704,0.000000,-0.1708,193.8768,-0.0482,0.2588,-3.2969,0.0000,194.1768,0.006615,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.004112,0.006150,0.001210
46,47.000,-0.1147,193.4275,0.0000,-0.009081,-0.380950,0.000000,-0.1593,193.4518,0.0173,0.2673,-3.1325,0.0000,193.8054,0.006289,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000572,-0.004449,-0.020643
47,48.000,-0.1239,193.0436,0.0000,-0.009396,-0.386883,0.000000,-0.1696,193.1090,-0.0102,0.2775,-2.9764,0.0000,193.4276,0.005980,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002175,-0.011533,0.000886
48,49.000,-0.1335,192.6539,0.0000,-0.009697,-0.392519,0.000000,-0.2106,192.7191,-0.0326,0.2912,-2.8280,0.0000,193.0437,0.005687,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002621,-0.011996,0.010476
49,50.000,-0.1433,192.2587,0.0000,-0.009988,-0.397872,0.000000,-0.2300,192.3440,-0.0308,0.3022,-2.6871,0.0000,192.6540,0.005409,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.021940,0.002515,0.007329
50,51.000,-0.1534,191.8583,0.0000,-0.010269,-0.402957,0.000000,-0.2544,191.9996,-0.0173,0.3130,-2.5533,0.0000,192.2588,0.005146,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005211,-0.009053,-0.001244
51,52.000,-0.1639,191.4529,0.0000,-0.010556,-0.407787,0.000000,-0.2011,191.5715,-0.0126,0.3159,-2.4262,0.0000,191.8584,0.004894,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.005462,0.009193,0.019211
52,53.000,-0.1745,191.0428,0.0000,-0.010834,-0.412375,0.000000,-0.2144,191.0720,-0.0905,0.3259,-2.3054,0.0000,191.4530,0.004658,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.009249,0.001736,-0.008325
53,54.000,-0.1855,190.6283,0.0000,-0.011113,-0.416733,0.000000,-0.1753,190.7074,-0.0919,0.3300,-2.1908,0.0000,191.0429,0.004432,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.009974,-0.019042,0.003962
54,55.000,-0.1968,190.2095,0.0000,-0.011384,-0.420872,0.000000,-0.1869,190.3694,-0.0426,0.3390,-2.0818,0.0000,190.6284,0.004219,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.021452,-0.007359,-0.024902
55,56.000,-0.2083,189.7867,0.0000,-0.011650,-0.424804,0.000000,-0.1761,189.9524,0.0275,0.3465,-1.9783,0.0000,190.2096,0.004018,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002702,0.011049,-0.006563
56,57.000,-0.2201,189.3600,0.0000,-0.011904,-0.428538,0.000000,-0.1992,189.5408,0.0234,0.3565,-1.8801,0.0000,189.7868,0.003828,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011953,-0.019075,-0.014033
57,58.000,-0.2321,188.9297,0.0000,-0.012158,-0.432085,0.000000,-0.1714,189.1688,0.0280,0.3609,-1.7867,0.0000,189.3601,0.003646,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.011551,0.000337,0.004802
58,59.000,-0.2444,188.4959,0.0000,-0.012402,-0.435454,0.000000,-0.1792,188.8567,-0.0149,0.3696,-1.6980,0.0000,188.9298,0.003476,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003850,-0.008060,0.002549
59,60.000,-0.2569,188.0588,0.0000,-0.012629,-0.438654,0.000000,-0.2309,188.3547,-0.0543,0.3822,-1.6138,0.0000,188.4961,0.003318,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006732,-0.005891,-0.018126
60,61.000,-0.2696,187.6187,0.0000,-0.012857,-0.441694,0.000000,-0.1894,187.7756,0.0100,0.3848,-1.5338,0.0000,188.0590,0.003163,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.013774,-0.003509,0.000962
61,62.000,-0.2826,187.1755,0.0000,-0.013074,-0.444581,0.000000,-0.2152,187.3286,0.0052,0.3941,-1.4578,0.0000,187.6189,0.003021,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.013219,0.011659,0.006838
62,63.000,-0.2958,186.7296,0.0000,-0.013277,-0.447323,0.000000,-0.2476,186.9278,-0.0059,0.4040,-1.3856,0.0000,187.1757,0.002887,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004991,0.000545,-0.003109
63,64.000,-0.3091,186.2810,0.0000,-0.013473,-0.449928,0.000000,-0.2548,186.4519,0.0181,0.4108,-1.3171,0.0000,186.7298,0.002760,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.011629,-0.006281,-0.013718
64,65.000,-0.3227,185.8298,0.0000,-0.013652,-0.452402,0.000000,-0.2993,185.9541,-0.0112,0.4220,-1.2519,0.0000,186.2812,0.002643,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002232,-0.004582,-0.005080
65,66.000,-0.3364,185.3762,0.0000,-0.013824,-0.454752,0.000000,-0.3091,185.5016,0.0106,0.4284,-1.1901,0.0000,185.8301,0.002530,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.020102,0.004859,0.013601
66,67.000,-0.3503,184.9203,0.0000,-0.013985,-0.456984,0.000000,-0.3366,185.1419,-0.0172,0.4365,-1.1314,0.0000,185.3765,0.002426,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.011948,-0.008845,0.002941
67,68.000,-0.3644,184.4623,0.0000,-0.014123,-0.459104,0.000000,-0.4177,184.6473,-0.0158,0.4504,-1.0755,0.0000,184.9207,0.002333,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.014895,-0.007359,-0.006177
68,69.000,-0.3786,184.0022,0.0000,-0.014247,-0.461117,0.000000,-0.4689,184.1515,0.0019,0.4602,-1.0225,0.0000,184.4627,0.002243,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006162,-0.006258,0.005961
69,70.000,-0.3929,183.5401,0.0000,-0.014372,-0.463030,0.000000,-0.4455,183.7659,0.0359,0.4616,-0.9722,0.0000,184.0026,0.002153,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.009923,0.006244,0.001007
70,71.000,-0.4073,183.0762,0.0000,-0.014497,-0.464847,0.000000,-0.4284,183.2665,0.1011,0.4637,-0.9244,0.0000,183.5405,0.002069,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002030,0.002596,-0.003002
71,72.000,-0.4219,182.6105,0.0000,-0.014609,-0.466572,0.000000,-0.4680,182.7492,0.1107,0.4723,-0.8790,0.0000,183.0766,0.001996,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.007534,-0.005530,-0.000609
72,73.000,-0.4365,182.1431,0.0000,-0.014714,-0.468211,0.000000,-0.4860,182.1653,0.0836,0.4777,-0.8358,0.0000,182.6110,0.001926,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.015790,0.004204,-0.001506
73,74.000,-0.4513,181.6741,0.0000,-0.014810,-0.469768,0.000000,-0.5181,181.6929,0.0919,0.4843,-0.7948,0.0000,182.1436,0.001862,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.003980,0.003562,-0.023740
74,75.000,-0.4662,181.2036,0.0000,-0.014906,-0.471247,0.000000,-0.5061,181.3084,0.0752,0.4858,-0.7559,0.0000,181.6747,0.001798,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004131,-0.006717,-0.010429
75,76.000,-0.4811,180.7316,0.0000,-0.015002,-0.472651,0.000000,-0.4936,180.7601,0.1179,0.4875,-0.7190,0.0000,181.2042,0.001738,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.002224,0.001356,0.016496
76,77.000,-0.4962,180.2583,0.0000,-0.015082,-0.473985,0.000000,-0.5526,180.2260,0.1118,0.4971,-0.6838,0.0000,180.7323,0.001691,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.019364,0.000635,0.010973
77,78.000,-0.5113,179.7837,0.0000,-0.015158,-0.475253,0.000000,-0.5574,179.7526,0.0423,0.5008,-0.6505,0.0000,180.2590,0.001642,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.012629,-0.003786,-0.000050
78,79.000,-0.5265,179.3078,0.0000,-0.015233,-0.476456,0.000000,-0.5551,179.1749,0.0489,0.5024,-0.6188,0.0000,179.7844,0.001595,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006760,-0.018135,0.009321
79,80.000,-0.5417,178.8308,0.0000,-0.015300,-0.477600,0.000000,-0.5786,178.6617,0.0843,0.5078,-0.5887,0.0000,179.3086,0.001555,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001887,0.001047,-0.002987
80,81.000,-0.5571,178.3527,0.0000,-0.015366,-0.478686,0.000000,-0.5777,178.2462,0.0497,0.5097,-0.5602,0.0000,178.8316,0.001515,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.012946,-0.011137,0.001196
81,82.000,-0.5725,177.8735,0.0000,-0.015427,-0.479717,0.000000,-0.5908,177.7947,-0.0054,0.5135,-0.5330,0.0000,178.3535,0.001481,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011416,-0.003421,-0.000973
82,83.000,-0.5879,177.3933,0.0000,-0.015478,-0.480697,0.000000,-0.6221,177.2864,-0.0211,0.5195,-0.5072,0.0000,177.8744,0.001452,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.000787,0.016322,0.003580
83,84.000,-0.6034,176.9121,0.0000,-0.015536,-0.481628,0.000000,-0.5856,176.7504,-0.0253,0.5171,-0.4827,0.0000,177.3942,0.001415,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002014,-0.008573,-0.006198
84,85.000,-0.6190,176.4300,0.0000,-0.015594,-0.482512,0.000000,-0.5771,176.2670,-0.0000,0.5182,-0.4595,0.0000,176.9131,0.001385,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.012985,-0.015852,-0.005185
85,86.000,-0.6346,175.9471,0.0000,-0.015645,-0.483352,0.000000,-0.5999,175.7318,0.0209,0.5228,-0.4374,0.0000,176.4311,0.001364,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002008,0.007828,0.000217
86,87.000,-0.6503,175.4633,0.0000,-0.015696,-0.484149,0.000000,-0.5949,175.2244,-0.0065,0.5238,-0.4164,0.0000,175.9482,0.001339,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003929,0.001669,-0.007102
87,88.000,-0.6660,174.9788,0.0000,-0.015736,-0.484907,0.000000,-0.6356,174.6815,0.0193,0.5302,-0.3964,0.0000,175.4646,0.001324,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.005708,0.015316,0.011926
88,89.000,-0.6817,174.4936,0.0000,-0.015763,-0.485627,0.000000,-0.6788,174.2600,0.0479,0.5373,-0.3775,0.0000,174.9801,0.001314,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.009216,-0.006616,-0.007090
89,90.000,-0.6975,174.0076,0.0000,-0.015778,-0.486310,0.000000,-0.7315,173.8773,0.0149,0.5445,-0.3595,0.0000,174.4949,0.001305,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.000314,0.008453,-0.004958
90,91.000,-0.7133,173.5209,0.0000,-0.015789,-0.486959,0.000000,-0.7471,173.4474,0.0069,0.5469,-0.3424,0.0000,174.0090,0.001291,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.005302,0.008706,0.002221
91,92.000,-0.7291,173.0337,0.0000,-0.015790,-0.487576,0.000000,-0.7889,172.9908,-0.0172,0.5528,-0.3261,0.0000,173.5224,0.001284,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001507,-0.000986,0.011087
92,93.000,-0.7449,172.5458,0.0000,-0.015801,-0.488162,0.000000,-0.7527,172.5338,-0.0759,0.5488,-0.3107,0.0000,173.0352,0.001262,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.011377,0.015817,0.002392
93,94.000,-0.7607,172.0574,0.0000,-0.015805,-0.488719,0.000000,-0.7796,172.0955,-0.0425,0.5527,-0.2961,0.0000,172.5474,0.001254,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006169,0.013832,-0.003137
94,95.000,-0.7765,171.5684,0.0000,-0.015803,-0.489248,0.000000,-0.8071,171.6278,-0.0757,0.5564,-0.2821,0.0000,172.0591,0.001248,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011602,-0.013741,-0.006008
95,96.000,-0.7923,171.0789,0.0000,-0.015798,-0.489750,0.000000,-0.8229,171.1419,-0.0318,0.5588,-0.2689,0.0000,171.5701,0.001241,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.013491,-0.015319,0.006821
96,97.000,-0.8081,170.5889,0.0000,-0.015800,-0.490227,0.000000,-0.7963,170.6448,-0.0160,0.5556,-0.2564,0.0000,171.0807,0.001224,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003475,-0.005979,0.005128
97,98.000,-0.8239,170.0984,0.0000,-0.015797,-0.490681,0.000000,-0.8162,170.1994,-0.0500,0.5586,-0.2444,0.0000,170.5908,0.001220,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.008633,-0.023023,-0.001881
98,99.000,-0.8397,169.6075,0.0000,-0.015787,-0.491111,0.000000,-0.8463,169.6385,-0.0136,0.5627,-0.2331,0.0000,170.1004,0.001218,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001637,-0.022211,-0.001023
99,100.000,-0.8555,169.1162,0.0000,-0.015775,-0.491520,0.000000,-0.8617,169.0798,-0.0500,0.5643,-0.2223,0.0000,169.6096,0.001213,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005119,0.001798,-0.003319
100,101.000,-0.8712,168.6245,0.0000,-0.015762,-0.491909,0.000000,-0.8610,168.5391,-0.0644,0.5651,-0.2121,0.0000,169.1184,0.001207,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.017255,-0.008519,-0.002245
101,102.000,-0.8870,168.1324,0.0000,-0.015738,-0.492278,0.000000,-0.9094,167.9900,-0.0611,0.5711,-0.2023,0.0000,168.6268,0.001212,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001757,0.012302,0.002173
102,103.000,-0.9027,167.6400,0.0000,-0.015714,-0.492629,0.000000,-0.9177,167.5752,-0.0623,0.5715,-0.1931,0.0000,168.1348,0.001207,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.012504,0.014709,-0.010728
103,104.000,-0.9184,167.1472,0.0000,-0.015704,-0.492963,0.000000,-0.8691,167.0479,-0.0332,0.5651,-0.1844,0.0000,167.6424,0.001189,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.009109,-0.006517,0.001231
104,105.000,-0.9341,166.6541,0.0000,-0.015691,-0.493279,0.000000,-0.8825,166.5380,-0.0396,0.5670,-0.1760,0.0000,167.1497,0.001188,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004271,0.015102,-0.005580
105,106.000,-0.9498,166.1606,0.0000,-0.015673,-0.493580,0.000000,-0.8978,166.0270,-0.0371,0.5698,-0.1681,0.0000,166.6567,0.001188,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.014030,-0.027245,-0.010876
