step,time_s,true_x,true_y,true_z,true_vx,true_vy,true_vz,est_x,est_y,est_z,cmd_fx,cmd_fy,cmd_fz,range_m,dv_step,att_qw,att_qx,att_qy,att_qz,att_err_deg,att_aligned,mission_mode,fault_code,imu_ax,imu_ay,imu_az
351,352.000,-1.6055,62.2257,0.0000,0.009172,-0.165923,0.000000,-1.6060,62.2680,-0.0442,0.2038,1.0916,0.0000,62.4135,0.002222,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004789,0.006139,0.003868
352,353.000,-1.5963,62.0608,0.0000,0.009191,-0.163798,0.000000,-1.5908,62.1294,-0.0350,0.1993,1.0723,0.0000,62.2464,0.002182,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005638,0.002820,-0.008393
353,354.000,-1.5871,61.8980,0.0000,0.009219,-0.161699,0.000000,-1.6034,61.9713,-0.0656,0.2017,1.0594,0.0000,62.0813,0.002158,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001833,0.005346,-0.005095
354,355.000,-1.5779,61.7374,0.0000,0.009241,-0.159607,0.000000,-1.5888,61.7784,-0.0200,0.1963,1.0560,0.0000,61.9184,0.002149,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006399,0.002443,0.001410
355,356.000,-1.5687,61.5788,0.0000,0.009277,-0.157570,0.000000,-1.6044,61.6817,-0.0210,0.2008,1.0286,0.0000,61.7576,0.002097,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.016552,0.005226,-0.007988
356,357.000,-1.5593,61.4222,0.0000,0.009331,-0.155542,0.000000,-1.6299,61.4989,0.0083,0.2075,1.0242,0.0000,61.5988,0.002091,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006058,-0.000240,-0.018597
357,358.000,-1.5500,61.2677,0.0000,0.009386,-0.153496,0.000000,-1.6292,61.2588,-0.0258,0.2053,1.0329,0.0000,61.4420,0.002107,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000244,-0.007778,0.011326
358,359.000,-1.5406,61.1153,0.0000,0.009411,-0.151459,0.000000,-1.5744,61.0716,-0.0165,0.1883,1.0291,0.0000,61.2873,0.002093,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.015691,0.012730,0.015615
359,360.000,-1.5312,60.9648,0.0000,0.009421,-0.149473,0.000000,-1.5488,60.9746,-0.0320,0.1786,1.0031,0.0000,61.1347,0.002039,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.005964,0.002218,0.001390
360,361.000,-1.5218,60.8163,0.0000,0.009425,-0.147530,0.000000,-1.5329,60.8604,0.0011,0.1730,0.9818,0.0000,60.9840,0.001995,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001977,0.005189,0.002634
361,362.000,-1.5123,60.6697,0.0000,0.009438,-0.145602,0.000000,-1.5377,60.7010,0.0110,0.1756,0.9743,0.0000,60.8353,0.001981,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.000043,-0.009412,0.001446
362,363.000,-1.5029,60.5251,0.0000,0.009455,-0.143708,0.000000,-1.5357,60.5794,0.0091,0.1756,0.9571,0.0000,60.6886,0.001947,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.002109,0.013229,-0.002074
363,364.000,-1.4934,60.3823,0.0000,0.009472,-0.141851,0.000000,-1.5330,60.4637,0.0019,0.1732,0.9390,0.0000,60.5437,0.001911,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.018912,-0.003998,0.001949
364,365.000,-1.4839,60.2414,0.0000,0.009469,-0.139994,0.000000,-1.4932,60.2823,0.0027,0.1610,0.9384,0.0000,60.4007,0.001905,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006378,-0.013823,0.011710
365,366.000,-1.4745,60.1023,0.0000,0.009449,-0.138162,0.000000,-1.4567,60.1466,-0.0081,0.1502,0.9263,0.0000,60.2596,0.001878,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.011857,0.006228,0.005956
366,367.000,-1.4650,59.9650,0.0000,0.009428,-0.136363,0.000000,-1.4500,60.0285,-0.0185,0.1480,0.9102,0.0000,60.1204,0.001845,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.013812,0.016236,0.001527
367,368.000,-1.4556,59.8295,0.0000,0.009417,-0.134589,0.000000,-1.4556,59.9079,-0.0251,0.1511,0.8969,0.0000,59.9829,0.001820,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.005257,0.006380,0.003359
368,369.000,-1.4462,59.6958,0.0000,0.009407,-0.132827,0.000000,-1.4448,59.7513,-0.0059,0.1491,0.8914,0.0000,59.8472,0.001808,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005814,-0.006635,-0.013350
369,370.000,-1.4368,59.5639,0.0000,0.009389,-0.131079,0.000000,-1.4284,59.6041,0.0290,0.1436,0.8844,0.0000,59.7134,0.001793,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.011375,0.021243,-0.013838
370,371.000,-1.4274,59.4337,0.0000,0.009373,-0.129377,0.000000,-1.4208,59.5226,0.0459,0.1423,0.8611,0.0000,59.5812,0.001746,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.018875,-0.000380,0.001652
371,372.000,-1.4181,59.3051,0.0000,0.009362,-0.127654,0.000000,-1.4206,59.3124,0.0287,0.1430,0.8715,0.0000,59.4508,0.001767,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005960,0.001783,0.004410
372,373.000,-1.4087,59.1783,0.0000,0.009351,-0.125976,0.000000,-1.4118,59.2336,0.0394,0.1410,0.8492,0.0000,59.3221,0.001723,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005202,0.026924,-0.000346
373,374.000,-1.3994,59.0532,0.0000,0.009334,-0.124316,0.000000,-1.3929,59.1024,0.0138,0.1358,0.8403,0.0000,59.1951,0.001703,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011858,-0.008537,0.003505
374,375.000,-1.3900,58.9297,0.0000,0.009328,-0.122679,0.000000,-1.4098,58.9869,0.0154,0.1396,0.8286,0.0000,59.0698,0.001681,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.027532,0.008891,0.010102
375,376.000,-1.3807,58.8078,0.0000,0.009317,-0.121073,0.000000,-1.3905,58.8844,-0.0175,0.1353,0.8133,0.0000,58.9461,0.001650,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.018045,0.003434,-0.011620
376,377.000,-1.3714,58.6875,0.0000,0.009317,-0.119472,0.000000,-1.4002,58.7294,-0.0127,0.1390,0.8110,0.0000,58.8240,0.001647,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003780,-0.005668,0.007552
377,378.000,-1.3621,58.5689,0.0000,0.009301,-0.117877,0.000000,-1.3744,58.5912,0.0111,0.1293,0.8077,0.0000,58.7036,0.001637,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006792,0.002480,-0.004735
378,379.000,-1.3528,58.4518,0.0000,0.009291,-0.116326,0.000000,-1.3741,58.5166,-0.0029,0.1303,0.7854,0.0000,58.5847,0.001593,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.016567,0.009405,-0.022265
379,380.000,-1.3435,58.3362,0.0000,0.009284,-0.114778,0.000000,-1.3696,58.3722,-0.0227,0.1298,0.7841,0.0000,58.4674,0.001590,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004212,-0.009273,0.006350
380,381.000,-1.3342,58.2222,0.0000,0.009276,-0.113256,0.000000,-1.3588,58.2736,-0.0316,0.1281,0.7712,0.0000,58.3517,0.001564,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.003370,-0.001063,-0.000953
381,382.000,-1.3250,58.1097,0.0000,0.009275,-0.111751,0.000000,-1.3630,58.1538,-0.0583,0.1295,0.7626,0.0000,58.2375,0.001548,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004064,-0.012813,-0.010805
382,383.000,-1.3157,57.9987,0.0000,0.009273,-0.110260,0.000000,-1.3576,58.0329,-0.0343,0.1273,0.7560,0.0000,58.1248,0.001534,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003289,0.003578,-0.013918
383,384.000,-1.3064,57.8891,0.0000,0.009259,-0.108812,0.000000,-1.3358,57.9707,-0.0143,0.1199,0.7339,0.0000,58.0136,0.001488,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.013750,0.006956,-0.006877
384,385.000,-1.2972,57.7810,0.0000,0.009237,-0.107382,0.000000,-1.3088,57.8672,0.0094,0.1140,0.7254,0.0000,57.9039,0.001469,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001241,0.021194,-0.002416
385,386.000,-1.2879,57.6744,0.0000,0.009224,-0.105974,0.000000,-1.3166,57.7681,0.0342,0.1166,0.7139,0.0000,57.7956,0.001447,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.014896,0.005053,-0.008770
386,387.000,-1.2787,57.5691,0.0000,0.009207,-0.104553,0.000000,-1.3065,57.6013,0.0092,0.1135,0.7209,0.0000,57.6887,0.001460,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.004945,0.019899,0.026402
387,388.000,-1.2695,57.4652,0.0000,0.009192,-0.103155,0.000000,-1.3036,57.5084,-0.0104,0.1128,0.7092,0.0000,57.5833,0.001437,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.012356,-0.004490,-0.009283
388,389.000,-1.2603,57.3628,0.0000,0.009179,-0.101751,0.000000,-1.2921,57.3541,-0.0277,0.1120,0.7121,0.0000,57.4793,0.001443,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.009242,-0.000494,-0.006856
389,390.000,-1.2512,57.2617,0.0000,0.009168,-0.100373,0.000000,-1.2950,57.2689,-0.0466,0.1111,0.6988,0.0000,57.3766,0.001416,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001134,-0.006998,-0.003701
390,391.000,-1.2420,57.1620,0.0000,0.009155,-0.098999,0.000000,-1.2857,57.1381,-0.0059,0.1093,0.6971,0.0000,57.2754,0.001412,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004288,-0.000533,0.006333
391,392.000,-1.2329,57.0637,0.0000,0.009143,-0.097636,0.000000,-1.2810,57.0273,0.0147,0.1077,0.6915,0.0000,57.1755,0.001400,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006572,0.023963,-0.001491
392,393.000,-1.2237,56.9668,0.0000,0.009128,-0.096310,0.000000,-1.2659,56.9676,0.0007,0.1046,0.6730,0.0000,57.0770,0.001363,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001597,0.009844,0.008331
393,394.000,-1.2147,56.8711,0.0000,0.008906,-0.094974,0.000000,-1.2365,56.8158,-0.0162,0.0000,0.6780,0.0000,56.9799,0.001357,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.012436,0.009320,0.010776
394,395.000,-1.2059,56.7768,0.0000,0.008688,-0.093697,0.000000,-1.2125,56.8022,-0.0279,0.0000,0.6482,0.0000,56.8841,0.001297,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.002805,0.017854,0.018201
395,396.000,-1.1973,56.6837,0.0000,0.008472,-0.092439,0.000000,-1.1626,56.7139,0.0017,0.0000,0.6386,0.0000,56.7896,0.001278,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005075,0.002421,0.007892
396,397.000,-1.1890,56.5919,0.0000,0.008259,-0.091190,0.000000,-1.1671,56.6107,0.0077,0.0000,0.6338,0.0000,56.6964,0.001268,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011391,0.016493,-0.001633
397,398.000,-1.1808,56.5013,0.0000,0.008049,-0.089971,0.000000,-1.1452,56.5464,-0.0014,0.0000,0.6184,0.0000,56.6044,0.001237,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004273,0.000731,-0.012883
398,399.000,-1.1729,56.4120,0.0000,0.007842,-0.088741,0.000000,-1.1407,56.4055,0.0046,0.0000,0.6236,0.0000,56.5137,0.001248,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.020570,-0.009143,0.002027
399,400.000,-1.1650,56.3238,0.0000,0.007851,-0.087515,0.000000,-1.1478,56.2943,-0.0107,0.1065,0.6218,0.0000,56.4242,0.001262,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.015756,0.014727,-0.001064
400,401.000,-1.1572,56.2369,0.0000,0.007864,-0.086322,0.000000,-1.1494,56.2349,-0.0060,0.1075,0.6051,0.0000,56.3359,0.001230,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.014105,-0.004490,-0.007160
401,402.000,-1.1493,56.1512,0.0000,0.007875,-0.085139,0.000000,-1.1410,56.1365,0.0230,0.1050,0.6002,0.0000,56.2488,0.001219,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.008307,0.012948,0.013196
402,403.000,-1.1415,56.0666,0.0000,0.007679,-0.083976,0.000000,-1.1206,56.0592,0.0231,0.0000,0.5901,0.0000,56.1629,0.001181,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001074,0.001239,0.003587
403,404.000,-1.1339,55.9832,0.0000,0.007486,-0.082823,0.000000,-1.1012,55.9659,0.0254,0.0000,0.5846,0.0000,56.0782,0.001170,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.005815,0.000970,-0.007669
404,405.000,-1.1264,55.9010,0.0000,0.007499,-0.081684,0.000000,-1.0951,55.8813,0.0071,0.1022,0.5779,0.0000,55.9947,0.001174,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004546,-0.000696,0.001996
405,406.000,-1.1189,55.8198,0.0000,0.007522,-0.080568,0.000000,-1.1088,55.8158,-0.0208,0.1054,0.5660,0.0000,55.9123,0.001152,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.015610,-0.010408,0.002867
406,407.000,-1.1115,55.7398,0.0000,0.007336,-0.079498,0.000000,-1.0846,55.7956,-0.0328,0.0000,0.5434,0.0000,55.8311,0.001087,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.007921,0.002518,-0.001491
407,408.000,-1.1042,55.6608,0.0000,0.007357,-0.078446,0.000000,-1.0792,55.7275,-0.0173,0.1022,0.5340,0.0000,55.7509,0.001088,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.018076,-0.018567,-0.016755
408,409.000,-1.0968,55.5829,0.0000,0.007385,-0.077416,0.000000,-1.0863,55.6666,0.0013,0.1042,0.5233,0.0000,55.6718,0.001068,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.017635,0.000171,0.006462
409,410.000,-1.0894,55.5060,0.0000,0.007416,-0.076421,0.000000,-1.0931,55.6320,-0.0144,0.1049,0.5056,0.0000,55.5937,0.001033,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004190,0.019186,0.004287
410,411.000,-1.0821,55.4301,0.0000,0.007240,-0.075429,0.000000,-1.0781,55.5396,-0.0226,0.0000,0.5041,0.0000,55.5167,0.001009,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.007454,0.012525,-0.011229
411,412.000,-1.0749,55.3551,0.0000,0.007065,-0.074423,0.000000,-1.0519,55.4183,0.0082,0.0000,0.5106,0.0000,55.4406,0.001022,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.010433,-0.003003,-0.020386
412,413.000,-1.0679,55.2812,0.0000,0.006894,-0.073433,0.000000,-1.0160,55.3480,-0.0072,0.0000,0.5027,0.0000,55.3656,0.001006,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.010555,-0.011720,0.023920
413,414.000,-1.0611,55.2083,0.0000,0.006724,-0.072469,0.000000,-1.0121,55.3074,-0.0202,0.0000,0.4894,0.0000,55.2915,0.000979,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.014590,-0.000823,-0.006689
414,415.000,-1.0545,55.1363,0.0000,0.006557,-0.071512,0.000000,-1.0012,55.2226,0.0083,0.0000,0.4862,0.0000,55.2185,0.000973,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.025376,-0.000548,0.006013
415,416.000,-1.0479,55.0652,0.0000,0.006613,-0.070543,0.000000,-1.0302,55.1061,0.0095,0.1107,0.4917,0.0000,55.1464,0.001009,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002129,0.002319,0.011832
416,417.000,-1.0412,54.9952,0.0000,0.006668,-0.069590,0.000000,-1.0287,55.0437,0.0083,0.1090,0.4838,0.0000,55.0752,0.000992,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001712,0.009554,0.003188
417,418.000,-1.0346,54.9261,0.0000,0.006726,-0.068626,0.000000,-1.0330,54.9216,-0.0073,0.1090,0.4895,0.0000,55.0050,0.001004,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.009481,-0.009990,0.001548
418,419.000,-1.0278,54.8579,0.0000,0.006777,-0.067675,0.000000,-1.0253,54.8543,-0.0191,0.1048,0.4829,0.0000,54.9358,0.000989,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.003978,0.016610,0.005143
419,420.000,-1.0210,54.7907,0.0000,0.006836,-0.066740,0.000000,-1.0417,54.7939,-0.0151,0.1078,0.4748,0.0000,54.8675,0.000974,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006646,-0.009568,-0.005929
420,421.000,-1.0141,54.7244,0.0000,0.006892,-0.065819,0.000000,-1.0393,54.7269,-0.0038,0.1051,0.4683,0.0000,54.8002,0.000960,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001306,-0.004342,-0.006254
421,422.000,-1.0073,54.6591,0.0000,0.006740,-0.064914,0.000000,-1.0253,54.6678,0.0090,0.0000,0.4601,0.0000,54.7338,0.000921,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.019925,-0.011392,0.003204
422,423.000,-1.0006,54.5946,0.0000,0.006590,-0.064027,0.000000,-0.9629,54.6157,-0.0093,0.0000,0.4509,0.0000,54.6684,0.000902,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.014078,-0.002668,0.007022
423,424.000,-0.9941,54.5310,0.0000,0.006442,-0.063131,0.000000,-0.9649,54.5114,0.0058,0.0000,0.4548,0.0000,54.6038,0.000910,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.010334,-0.003768,-0.002138
424,425.000,-0.9877,54.4683,0.0000,0.006497,-0.062266,0.000000,-0.9812,54.4845,0.0148,0.1003,0.4397,0.0000,54.5401,0.000902,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.007996,0.018617,-0.009059
425,426.000,-0.9812,54.4065,0.0000,0.006353,-0.061405,0.000000,-0.9643,54.4046,0.0031,0.0000,0.4380,0.0000,54.4773,0.000876,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.004474,-0.005721,-0.005159
426,427.000,-0.9749,54.3455,0.0000,0.006414,-0.060564,0.000000,-0.9808,54.3611,-0.0199,0.1016,0.4275,0.0000,54.4153,0.000879,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.010197,0.000258,-0.007010
427,428.000,-0.9685,54.2853,0.0000,0.006274,-0.059760,0.000000,-0.9575,54.3520,0.0068,0.0000,0.4090,0.0000,54.3542,0.000818,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.008847,0.006918,-0.015579
428,429.000,-0.9623,54.2260,0.0000,0.006135,-0.058971,0.000000,-0.9433,54.3037,0.0290,0.0000,0.4015,0.0000,54.2940,0.000803,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004238,-0.016199,-0.003100
429,430.000,-0.9562,54.1674,0.0000,0.005999,-0.058207,0.000000,-0.9532,54.2776,0.0369,0.0000,0.3883,0.0000,54.2345,0.000777,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.022336,-0.019920,0.004709
430,431.000,-0.9502,54.1095,0.0000,0.006087,-0.057487,0.000000,-0.9796,54.2888,0.0601,0.1116,0.3668,0.0000,54.1758,0.000767,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.011226,-0.008157,-0.009409
431,432.000,-0.9441,54.0524,0.0000,0.006154,-0.056770,0.000000,-0.9500,54.2214,0.0340,0.1000,0.3653,0.0000,54.1179,0.000758,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.008592,-0.013238,0.005668
432,433.000,-0.9379,53.9960,0.0000,0.006238,-0.056057,0.000000,-0.9784,54.1592,0.0279,0.1076,0.3634,0.0000,54.0607,0.000758,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.021940,-0.009132,0.005712
433,434.000,-0.9316,53.9403,0.0000,0.006316,-0.055339,0.000000,-0.9767,54.0789,-0.0379,0.1041,0.3658,0.0000,54.0041,0.000761,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.012796,0.008898,-0.008862
434,435.000,-0.9254,53.8853,0.0000,0.006188,-0.054610,0.000000,-0.9533,53.9837,-0.0228,0.0000,0.3717,0.0000,53.9483,0.000744,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011897,0.001990,0.001037
435,436.000,-0.9192,53.8311,0.0000,0.006061,-0.053868,0.000000,-0.9418,53.8878,-0.0058,0.0000,0.3776,0.0000,53.8933,0.000756,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.005270,-0.005282,-0.007482
436,437.000,-0.9131,53.7776,0.0000,0.006146,-0.053159,0.000000,-0.9593,53.8835,-0.0332,0.1049,0.3612,0.0000,53.8389,0.000753,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.001453,0.006947,0.001042
437,438.000,-0.9069,53.7248,0.0000,0.006224,-0.052444,0.000000,-0.9525,53.7985,-0.0290,0.1003,0.3643,0.0000,53.7853,0.000756,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.000923,-0.005112,0.007535
438,439.000,-0.9008,53.6727,0.0000,0.006102,-0.051719,0.000000,-0.9147,53.7065,-0.0294,0.0000,0.3693,0.0000,53.7324,0.000739,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.008907,-0.018028,-0.011898
439,440.000,-0.8947,53.6213,0.0000,0.005982,-0.051018,0.000000,-0.9050,53.6849,-0.0230,0.0000,0.3573,0.0000,53.6802,0.000715,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000843,-0.015392,-0.012221
440,441.000,-0.8888,53.5706,0.0000,0.005864,-0.050333,0.000000,-0.8897,53.6470,-0.0235,0.0000,0.3490,0.0000,53.6288,0.000698,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000938,-0.015843,-0.004551
441,442.000,-0.8830,53.5206,0.0000,0.005747,-0.049655,0.000000,-0.9041,53.5955,0.0133,0.0000,0.3456,0.0000,53.5780,0.000692,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.012696,-0.005288,-0.002923
442,443.000,-0.8773,53.4713,0.0000,0.005632,-0.048981,0.000000,-0.8776,53.5327,0.0505,0.0000,0.3434,0.0000,53.5279,0.000687,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003832,0.003225,-0.000971
443,444.000,-0.8717,53.4227,0.0000,0.005518,-0.048303,0.000000,-0.8291,53.4633,0.0343,0.0000,0.3449,0.0000,53.4785,0.000690,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000493,0.007183,-0.009237
444,445.000,-0.8663,53.3747,0.0000,0.005406,-0.047631,0.000000,-0.8375,53.4075,0.0460,0.0000,0.3423,0.0000,53.4298,0.000685,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006130,0.012165,0.025364
445,446.000,-0.8609,53.3274,0.0000,0.005295,-0.046948,0.000000,-0.8261,53.3186,0.0444,0.0000,0.3472,0.0000,53.3818,0.000695,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.013640,-0.001200,0.023751
446,447.000,-0.8557,53.2808,0.0000,0.005186,-0.046274,0.000000,-0.8067,53.2682,0.0413,0.0000,0.3429,0.0000,53.3344,0.000686,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.007418,0.001965,-0.003338
447,448.000,-0.8506,53.2349,0.0000,0.005079,-0.045616,0.000000,-0.8212,53.2371,0.0091,0.0000,0.3345,0.0000,53.2877,0.000669,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.020823,-0.012496,0.005423
448,449.000,-0.8455,53.1896,0.0000,0.004973,-0.044959,0.000000,-0.8293,53.1710,-0.0115,0.0000,0.3342,0.0000,53.2417,0.000669,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.012694,-0.007255,-0.011720
449,450.000,-0.8405,53.1450,0.0000,0.005074,-0.044313,0.000000,-0.8441,53.1284,0.0262,0.1028,0.3285,0.0000,53.1963,0.000689,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.002068,0.003110,0.014873
450,451.000,-0.8355,53.1010,0.0000,0.004971,-0.043677,0.000000,-0.8156,53.0830,0.0281,0.0000,0.3235,0.0000,53.1516,0.000647,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003169,-0.008446,-0.008300
451,452.000,-0.8305,53.0576,0.0000,0.005070,-0.043038,0.000000,-0.8383,53.0142,-0.0015,0.1002,0.3255,0.0000,53.1075,0.000682,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.002058,-0.000914,0.000579
452,453.000,-0.8254,53.0149,0.0000,0.004970,-0.042433,0.000000,-0.8176,53.0215,-0.0154,0.0000,0.3078,0.0000,53.0641,0.000616,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.020434,-0.020587,-0.001729
453,454.000,-0.8205,52.9727,0.0000,0.004871,-0.041803,0.000000,-0.8194,52.9159,-0.0132,0.0000,0.3204,0.0000,53.0213,0.000641,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006400,-0.003223,0.006892
454,455.000,-0.8158,52.9300,0.0000,0.004561,-0.043728,0.000000,-0.7840,52.8199,0.0094,-0.1050,-0.9566,0.0000,52.9791,0.001926,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011500,-0.026919,-0.010729
455,456.000,-0.8113,52.8853,0.0000,0.004457,-0.045556,0.000000,-0.7956,52.7455,0.0278,0.0000,-0.9085,0.0000,52.9363,0.001818,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.009899,-0.002511,-0.007427
456,457.000,-0.8069,52.8389,0.0000,0.004349,-0.047293,0.000000,-0.8297,52.6797,0.0162,0.0000,-0.8627,0.0000,52.8916,0.001726,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.013930,-0.000414,-0.011039
457,458.000,-0.8026,52.7908,0.0000,0.004237,-0.048942,0.000000,-0.8239,52.6281,0.0013,0.0000,-0.8193,0.0000,52.8451,0.001639,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.000679,0.002591,-0.013791
458,459.000,-0.7984,52.7411,0.0000,0.004121,-0.050509,0.000000,-0.8308,52.6339,0.0044,0.0000,-0.7781,0.0000,52.7969,0.001557,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003169,-0.005628,-0.021353
459,460.000,-0.7944,52.6898,0.0000,0.004002,-0.051997,0.000000,-0.8193,52.6426,-0.0023,0.0000,-0.7389,0.0000,52.7471,0.001479,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.009375,0.004107,0.004755
